Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
creparatTestSuite,,,2019-04-29 16:52:32,2019-04-29 16:52:39,7.142s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 16:52:32,2019-04-29 16:52:36,3.673s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 16:52:33,2019-04-29 16:52:35,2.712s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 16:52:35,2019-04-29 16:52:36,0.350s,PASSED
"sendRequest(findTestObject(""deletedepart/delpartment"", [""url"":wx_url, ""token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""partid"":$partid]))",,,2019-04-29 16:52:36,2019-04-29 16:52:36,0.209s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 16:52:36,2019-04-29 16:52:37,1.333s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 16:52:36,2019-04-29 16:52:37,0.756s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 16:52:37,2019-04-29 16:52:37,0.354s,PASSED
"sendRequest(findTestObject(""deletedepart/delpartment"", [""url"":wx_url, ""token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""partid"":$partid]))",,,2019-04-29 16:52:37,2019-04-29 16:52:37,0.213s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 16:52:37,2019-04-29 16:52:38,0.768s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 16:52:37,2019-04-29 16:52:38,0.284s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 16:52:38,2019-04-29 16:52:38,0.208s,PASSED
"sendRequest(findTestObject(""deletedepart/delpartment"", [""url"":wx_url, ""token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""partid"":$partid]))",,,2019-04-29 16:52:38,2019-04-29 16:52:38,0.266s,PASSED
,,,,,,
Test Cases/New Folder/demo,,,2019-04-29 16:52:38,2019-04-29 16:52:39,1.098s,PASSED
"sendRequest(findTestObject(""getToken/getApiToken"", [""url"":wx_url]))",,,2019-04-29 16:52:38,2019-04-29 16:52:38,0.429s,PASSED
"sendRequest(findTestObject(""createrdepart/cretdepartment"", [""url"":wx_url, ""access_token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""dep"":$depment]))",,,2019-04-29 16:52:38,2019-04-29 16:52:39,0.309s,PASSED
"sendRequest(findTestObject(""deletedepart/delpartment"", [""url"":wx_url, ""token"":findTestData(""gettoken/getapitoken"").getValue(1, 1), ""partid"":$partid]))",,,2019-04-29 16:52:39,2019-04-29 16:52:39,0.352s,PASSED
